chain,name,address,district,lat,lng,source,source_id,source_url
Zebra Coffee,Zebra Coffee,"ТРЦ Аружан | Илияса Жансугурова улица, 8/1",Алматинский,51.15994,71.48194,2GIS snapshot in repository,70000001103902161,https://2gis.kz/astana/firm/70000001103902161
Zebra Coffee,Zebra Coffee,"ТЦ Жаннур | проспект Абая, 48",Байконур,51.16954,71.44062,2GIS snapshot in repository,70000001105217935,https://2gis.kz/astana/firm/70000001105217935
Zebra Coffee,Zebra Coffee,"Улица Абубакир Тыныбаев, 18",Сарайшык,51.11317,71.46385,2GIS snapshot in repository,70000001080449423,https://2gis.kz/astana/firm/70000001080449423
Zebra Coffee,Zebra Coffee,"Улица Аскар Токпанов, 22а",Алматинский,51.14315,71.45535,2GIS snapshot in repository,70000001084025319,https://2gis.kz/astana/firm/70000001084025319
Zebra Coffee,Zebra Coffee,"Улица Ахмет Байтурсынулы, 16",Сарайшык,51.1179,71.51014,2GIS snapshot in repository,70000001080449388,https://2gis.kz/astana/firm/70000001080449388
Zebra Coffee,Zebra Coffee,"Улица Бейбарыс Султан, 31",Сарыарка,51.17465,71.35235,2GIS snapshot in repository,70000001112782830,https://2gis.kz/astana/firm/70000001112782830
Zebra Coffee,Zebra Coffee,"Улица Е 900, 2",Нура,51.13212,71.39322,2GIS snapshot in repository,70000001070114789,https://2gis.kz/astana/firm/70000001070114789
Zebra Coffee,Zebra Coffee,"Улица Е-36, 4",Нура,51.12352,71.38076,2GIS snapshot in repository,70000001103351465,https://2gis.kz/astana/firm/70000001103351465
Zebra Coffee,Zebra Coffee,"Улица Жумекен Нажимеденов, 27",Сарайшык,51.11179,71.52235,2GIS snapshot in repository,70000001099743613,https://2gis.kz/astana/firm/70000001099743613
Zebra Coffee,Zebra Coffee,"Улица Жумекен Нажимеденов, 28",Сарайшык,51.11561,71.49379,2GIS snapshot in repository,70000001106066512,https://2gis.kz/astana/firm/70000001106066512
Zebra Coffee,Zebra Coffee,"Улица Илияс Омаров, 12в",Нура,51.13915,71.37044,2GIS snapshot in repository,70000001094177735,https://2gis.kz/astana/firm/70000001094177735
Zebra Coffee,Zebra Coffee,"Улица Кайым Мухамедханов, 4 блок А",Нура,51.13765,71.40072,2GIS snapshot in repository,70000001086867699,https://2gis.kz/astana/firm/70000001086867699
Zebra Coffee,Zebra Coffee,"Улица Калибек Куанышбаев, 11а",Сарайшык,51.12084,71.47613,2GIS snapshot in repository,70000001080966083,https://2gis.kz/astana/firm/70000001080966083
Zebra Coffee,Zebra Coffee,"Улица Кенжебек Кумисбеков, 11",Сарыарка,51.1721,71.39748,2GIS snapshot in repository,70000001080220312,https://2gis.kz/astana/firm/70000001080220312
Zebra Coffee,Zebra Coffee,"Улица Розы Баглановой, 6/3",Нура,51.11671,71.39199,2GIS snapshot in repository,70000001089455270,https://2gis.kz/astana/firm/70000001089455270
Zebra Coffee,Zebra Coffee,"Улица Санжара Асфендиярова, 1",Нура,51.13109,71.3762,2GIS snapshot in repository,70000001062846328,https://2gis.kz/astana/firm/70000001062846328
Zebra Coffee,Zebra Coffee,"Улица Сыганак, 48",Нура,51.12577,71.40976,2GIS snapshot in repository,70000001070115192,https://2gis.kz/astana/firm/70000001070115192
Zebra Coffee,Zebra Coffee,"Улица Сыганак, 6",Нура,51.13063,71.37085,2GIS snapshot in repository,70000001060702334,https://2gis.kz/astana/firm/70000001060702334
Zebra Coffee,Zebra Coffee,"Улица Туркестан, 28",Есильский,51.10171,71.42301,2GIS snapshot in repository,70000001089535650,https://2gis.kz/astana/firm/70000001089535650
Zebra Coffee,Zebra Coffee,"Улица Чингиз Айтматов, 79",Сарыарка,51.16763,71.37479,2GIS snapshot in repository,70000001113807068,https://2gis.kz/astana/firm/70000001113807068
Zebra Coffee,Zebra Coffee,"Улица Шамши Калдаяков, 12",Сарайшык,51.11564,71.4743,2GIS snapshot in repository,70000001112774775,https://2gis.kz/astana/firm/70000001112774775
Zebra Coffee,Zebra Coffee,"Улица Шамши Калдаяков, 23а",Сарайшык,51.11673,71.48481,2GIS snapshot in repository,70000001090887061,https://2gis.kz/astana/firm/70000001090887061
